Year,Italy,Switzerland,France,Germany,Luxamberk
1995,984983.4,355197.2,1218273,1898880,15776.635
1996,1043086,357694.7,1252266,1926320,16713.548
1997,1089869,364561,1292777,1967090,17498.26
1998,1135500,375021.4,1351896,2018230,18184.168
1999,1171901,381816,1400999,2064880,20870.643
2000,1239266,402805.3,1478585,2116480,23079.419
2001,1298890,412248.2,1538200,2179850,23771.928
2002,1345794,411871.3,1587829,2209290,25094.711
2003,1390710,416677.6,1630666,2220080,26187.79
2004,1448363,429716.3,1704019,2270620,27935.526
2005,1489726,446161.3,1765905,2300860,30031.04
2006,1548473,473680.5,1848151,2393250,33808.445
2007,1609551,505065.8,1941360,2513230,37178.871
2008,1632151,526408.1,1992380,2561740,38128.581
2009,1572878,516573.2,1936422,2460280,36976.517
2010,1604515,533772.1,1995289,2580060,40177.812
2011,1637463,544665.8,2058369,2703120,43164.646
2012,1613265,549187.9,2088804,2758260,44112.095
2013,1604599,559500.6,2117189,2826240,46499.56
2014,1621827,569619.1,2149765,2938590,49824.506
2015,1652085,573599,2198432,3048860,51578.86
2016,1689824,578977.5,2228568,3159750,53303.028
2017,1724205,586148.1,2291697,3277340,55299.377
